Timestamp,Type,Setpoint,Current,PWM
1767566841.2832649,I,0.00,17.50,0.00
1767566841.3023784,I,0.00,17.50,0.00
1767566841.3228939,I,0.00,17.50,0.00
1767566841.3424993,I,0.00,17.50,0.00
1767566841.3625088,I,0.00,17.50,0.00
1767566841.3826413,I,0.00,18.75,0.00
1767566841.4027894,I,0.00,17.50,0.00
1767566841.415803,T,25.06,25.06
1767566841.422805,I,0.00,17.50,0.00
1767566841.4430218,I,0.00,18.75,0.00
1767566841.4630213,I,0.00,17.50,0.00
1767566841.4830208,I,0.00,17.50,0.00
1767566841.502494,I,0.00,17.50,0.00
1767566841.5155082,T,25.06,25.06
1767566841.52302,I,0.00,17.50,0.00
1767566841.543044,I,0.00,17.50,0.00
1767566841.562485,I,0.00,17.50,0.00
1767566841.5824876,I,0.00,16.25,0.00
1767566841.6024947,I,0.00,17.50,0.00
1767566841.6155205,T,25.06,25.06
1767566841.6230223,I,0.00,17.50,0.00
1767566841.6430347,I,0.00,17.50,0.00
1767566841.6630318,I,0.00,17.50,0.00
1767566841.683031,I,0.00,16.25,0.00
1767566841.7025468,I,0.00,17.50,0.00
1767566841.7155464,T,25.06,25.06
1767566841.7230442,I,0.00,18.75,0.00
1767566841.7423553,I,0.00,17.50,0.00
1767566841.7624068,I,0.00,17.50,0.00
1767566841.7824087,I,0.00,17.50,0.00
1767566841.802428,I,0.00,17.50,0.00
1767566841.8154447,T,25.06,25.06
1767566841.8229456,I,0.00,17.50,0.00
1767566841.8429842,I,0.00,17.50,0.00
1767566841.862965,I,0.00,17.50,0.00
1767566841.8823845,I,0.00,17.50,0.00
1767566841.90283,I,0.00,17.50,0.00
1767566841.9156346,T,25.06,25.06
1767566841.9218028,I,0.00,18.75,0.00
1767566841.942344,I,0.00,17.50,0.00
1767566841.9623423,I,0.00,17.50,0.00
1767566841.982343,I,0.00,17.50,0.00
1767566842.002474,I,0.00,17.50,0.00
1767566842.0154853,T,25.06,25.06
1767566842.0224855,I,0.00,17.50,0.00
1767566842.0425532,I,0.00,17.50,0.00
1767566842.0631137,I,0.00,18.75,0.00
1767566842.0824764,I,0.00,17.50,0.00
1767566842.1018648,I,0.00,17.50,0.00
1767566842.1152978,T,25.06,25.06
1767566842.122293,I,0.00,17.50,0.00
1767566842.1428456,I,0.00,17.50,0.00
1767566842.1628387,I,0.00,17.50,0.00
1767566842.1827443,I,0.00,17.50,0.00
1767566842.2030845,I,0.00,17.50,0.00
1767566842.2151043,T,25.06,25.06
1767566842.2223291,I,0.00,17.50,0.00
1767566842.2428653,I,0.00,17.50,0.00
1767566842.2628567,I,0.00,18.75,0.00
1767566842.282859,I,0.00,18.75,0.00
1767566842.3028533,I,0.00,17.50,0.00
1767566842.3158698,T,25.06,25.06
1767566842.3228703,I,0.00,17.50,0.00
1767566842.3423703,I,0.00,18.75,0.00
1767566842.362374,I,0.00,16.25,0.00
1767566842.382366,I,0.00,17.50,0.00
1767566842.4023685,I,0.00,18.75,0.00
1767566842.4153805,T,25.06,25.06
1767566842.4223807,I,0.00,17.50,0.00
1767566842.442907,I,0.00,17.50,0.00
1767566842.463183,I,0.00,18.75,0.00
1767566842.4831753,I,0.00,16.25,0.00
1767566842.5021768,I,0.00,17.50,0.00
1767566842.5151818,T,25.06,25.06
1767566842.5231888,I,0.00,17.50,0.00
1767566842.5429332,I,0.00,17.50,0.00
1767566842.563157,I,0.00,17.50,0.00
1767566842.5826268,I,0.00,17.50,0.00
1767566842.6026254,I,0.00,17.50,0.00
1767566842.6156406,T,25.06,25.06
1767566842.6226373,I,0.00,17.50,0.00
1767566842.642158,I,0.00,17.50,0.00
1767566842.6630297,I,0.00,16.25,0.00
1767566842.6823685,I,0.00,18.75,0.00
1767566842.70234,I,0.00,18.75,0.00
1767566842.715671,T,25.06,25.06
1767566842.7226598,I,0.00,17.50,0.00
1767566842.7431273,I,0.00,17.50,0.00
1767566842.7631283,I,0.00,17.50,0.00
1767566842.7831266,I,0.00,17.50,0.00
1767566842.802127,I,0.00,17.50,0.00
1767566842.8151386,T,25.06,25.06
1767566842.8221874,I,0.00,17.50,0.00
1767566842.8426855,I,0.00,18.75,0.00
1767566842.8626702,I,0.00,17.50,0.00
1767566842.8826709,I,0.00,16.25,0.00
1767566842.9026735,I,0.00,17.50,0.00
1767566842.915678,T,25.06,25.06
1767566842.9226778,I,0.00,18.75,0.00
1767566842.942683,I,0.00,17.50,0.00
1767566842.9623058,I,0.00,16.25,0.00
1767566842.982999,I,0.00,17.50,0.00
1767566843.002987,I,0.00,17.50,0.00
1767566843.0160043,T,25.06,25.06
1767566843.0229998,I,0.00,16.25,0.00
1767566843.0430305,I,0.00,17.50,0.00
1767566843.0630374,I,0.00,17.50,0.00
1767566843.082798,I,0.00,17.50,0.00
1767566843.1029475,I,0.00,17.50,0.00
1767566843.1159582,T,25.06,25.06
1767566843.122964,I,0.00,18.75,0.00
1767566843.1425424,I,0.00,17.50,0.00
1767566843.162543,I,0.00,17.50,0.00
1767566843.1825883,I,0.00,18.75,0.00
1767566843.2025356,I,0.00,17.50,0.00
1767566843.2158644,T,25.06,25.06
1767566843.2228818,I,0.00,17.50,0.00
1767566843.242436,I,0.00,17.50,0.00
1767566843.2629902,I,0.00,18.75,0.00
1767566843.282974,I,0.00,17.50,0.00
1767566843.3029957,I,0.00,17.50,0.00
1767566843.3159902,T,25.06,25.06
1767566843.3229895,I,0.00,17.50,0.00
1767566843.3424838,I,0.00,17.50,0.00
1767566843.3624747,I,0.00,17.50,0.00
1767566843.3828526,I,0.00,18.75,0.00
1767566843.4031386,I,0.00,17.50,0.00
1767566843.4154112,T,25.06,25.06
1767566843.4224033,I,0.00,16.25,0.00
1767566843.4429543,I,0.00,18.75,0.00
1767566843.4631643,I,0.00,17.50,0.00
1767566843.482164,I,0.00,17.50,0.00
1767566843.5021605,I,0.00,17.50,0.00
1767566843.515182,T,25.06,25.06
1767566843.5221763,I,0.00,17.50,0.00
1767566843.5426478,I,0.00,17.50,0.00
1767566843.56265,I,0.00,17.50,0.00
1767566843.5827515,I,0.00,18.75,0.00
1767566843.6023245,I,0.00,18.75,0.00
1767566843.6153305,T,25.06,25.06
1767566843.62236,I,0.00,17.50,0.00
1767566843.6428041,I,0.00,17.50,0.00
1767566843.6628036,I,0.00,17.50,0.00
1767566843.6828034,I,0.00,18.75,0.00
1767566843.7028139,I,0.00,18.75,0.00
1767566843.7158253,T,25.06,25.06
1767566843.7228365,I,0.00,17.50,0.00
1767566843.7423675,I,0.00,16.25,0.00
1767566843.7623656,I,0.00,18.75,0.00
1767566843.7823534,I,0.00,17.50,0.00
1767566843.8023596,I,0.00,17.50,0.00
1767566843.8153672,T,25.06,25.06
1767566843.8224883,I,0.00,17.50,0.00
1767566843.8428903,I,0.00,17.50,0.00
1767566843.8628879,I,0.00,17.50,0.00
1767566843.88289,I,0.00,17.50,0.00
1767566843.902921,I,0.00,17.50,0.00
1767566843.9157977,T,25.06,25.06
1767566843.922779,I,0.00,17.50,0.00
1767566843.94226,I,0.00,17.50,0.00
1767566843.9625466,I,0.00,18.75,0.00
1767566843.9825413,I,0.00,16.25,0.00
1767566844.004548,I,0.00,17.50,0.00
1767566844.0155623,T,25.06,25.06
1767566844.0225654,I,0.00,17.50,0.00
1767566844.0421126,I,0.00,17.50,0.00
1767566844.0631154,I,0.00,17.50,0.00
1767566844.083123,I,0.00,17.50,0.00
1767566844.1028798,I,0.00,18.75,0.00
1767566844.11587,T,25.06,25.06
1767566844.1228971,I,0.00,17.50,0.00
1767566844.142689,I,0.00,17.50,0.00
1767566844.1626837,I,0.00,18.75,0.00
1767566844.1826837,I,0.00,17.50,0.00
1767566844.2026844,I,0.00,17.50,0.00
1767566844.2156863,T,25.06,25.06
1767566844.2227046,I,0.00,17.50,0.00
1767566844.2431521,I,0.00,17.50,0.00
1767566844.263152,I,0.00,16.25,0.00
1767566844.2831523,I,0.00,17.50,0.00
1767566844.3021514,I,0.00,16.25,0.00
1767566844.3161588,T,25.06,25.06
1767566844.322164,I,0.00,18.75,0.00
1767566844.3426902,I,0.00,17.50,0.00
1767566844.3629594,I,0.00,17.50,0.00
1767566844.3828614,I,0.00,16.25,0.00
1767566844.4021366,I,0.00,17.50,0.00
1767566844.4151487,T,25.06,25.06
1767566844.4231422,I,0.00,17.50,0.00
1767566844.442668,I,0.00,17.50,0.00
1767566844.4626694,I,0.00,17.50,0.00
1767566844.482701,I,0.00,17.50,0.00
1767566844.5030773,I,0.00,18.75,0.00
1767566844.5153847,T,25.06,25.06
1767566844.5226846,I,0.00,18.75,0.00
1767566844.5431461,I,0.00,17.50,0.00
1767566844.5631506,I,0.00,17.50,0.00
1767566844.5831916,I,1000.00,17.50,7.86
1767566844.602318,I,1000.00,83.75,15.19
1767566844.6155863,T,25.06,25.06
1767566844.6225863,I,1000.00,160.00,21.91
1767566844.6430912,I,1000.00,223.75,28.12
1767566844.6630907,I,1000.00,286.25,33.83
1767566844.683091,I,1000.00,338.75,39.12
1767566844.703229,I,1000.00,405.00,43.88
1767566844.7152836,T,25.06,25.06
1767566844.7222877,I,1000.00,437.50,48.38
1767566844.7430098,I,1000.00,487.50,52.48
1767566844.7630787,I,1000.00,532.50,56.22
1767566844.7830768,I,1000.00,567.50,59.68
1767566844.802183,I,1000.00,597.50,62.90
1767566844.815978,T,25.06,25.06
1767566844.8229802,I,1000.00,631.25,65.85
1767566844.8424942,I,1000.00,653.75,68.62
1767566844.862495,I,1000.00,691.25,71.09
1767566844.8825378,I,1000.00,717.50,73.35
1767566844.9025354,I,1000.00,737.50,75.45
1767566844.915637,T,25.06,25.06
1767566844.9226289,I,1000.00,760.00,77.37
1767566844.9421523,I,1000.00,771.25,79.20
1767566844.9631526,I,1000.00,796.25,80.83
1767566844.9831524,I,1000.00,808.75,82.36
1767566845.003156,I,1000.00,815.00,83.84
1767566845.0151546,T,25.06,25.06
1767566845.0231552,I,1000.00,823.75,85.25
1767566845.0426705,I,1000.00,856.25,86.40
1767566845.062671,I,1000.00,850.00,87.60
1767566845.0826707,I,1000.00,865.00,88.68
1767566845.1026773,I,1000.00,883.75,89.61
1767566845.1157622,T,25.06,25.06
1767566845.123073,I,1000.00,880.00,90.57
1767566845.1427143,I,1000.00,900.00,91.37
1767566845.1628504,I,1000.00,915.00,92.05
1767566845.1828897,I,1000.00,911.25,92.76
1767566845.2024243,I,1000.00,921.25,93.39
1767566845.2154331,T,25.06,25.06
1767566845.2224333,I,1000.00,932.50,93.93
1767566845.2429955,I,1000.00,931.25,94.48
1767566845.2629986,I,1000.00,943.75,94.93
1767566845.2829988,I,1000.00,941.25,95.40
1767566845.3030024,I,1000.00,952.50,95.78
1767566845.3156242,T,25.06,25.06
1767566845.3231177,I,1000.00,951.25,96.17
1767566845.3426273,I,1000.00,958.75,96.50
1767566845.3626254,I,1000.00,963.75,96.79
1767566845.382625,I,1000.00,955.00,97.15
1767566845.4028378,I,1000.00,955.00,97.51
1767566845.4159322,T,25.06,25.06
1767566845.4229314,I,1000.00,968.75,97.76
1767566845.4424367,I,1000.00,960.00,98.08
1767566845.4624367,I,1000.00,965.00,98.36
1767566845.4824367,I,1000.00,976.25,98.55
1767566845.5034375,I,1000.00,966.25,98.82
1767566845.5156329,T,25.06,25.06
1767566845.5226333,I,1000.00,966.25,99.09
1767566845.5423348,I,1000.00,985.00,99.21
1767566845.5624774,I,1000.00,972.50,99.43
1767566845.5824773,I,1000.00,980.00,99.59
1767566845.6024792,I,1000.00,987.50,99.69
1767566845.6156301,T,25.06,25.06
1767566845.622983,I,1000.00,985.00,99.81
1767566845.6429338,I,1000.00,983.75,99.94
1767566845.6622686,I,1000.00,986.25,100.05
1767566845.6822703,I,1000.00,992.50,100.11
1767566845.7022662,I,1000.00,996.25,100.14
1767566845.7152717,T,25.06,25.06
1767566845.722273,I,1000.00,992.50,100.20
1767566845.7427766,I,1000.00,995.00,100.24
1767566845.7627761,I,1000.00,992.50,100.30
1767566845.7827816,I,1000.00,982.50,100.44
1767566845.8027794,I,1000.00,996.25,100.47
1767566845.8157785,T,25.06,25.06
1767566845.8229144,I,1000.00,991.25,100.54
1767566845.8429291,I,1000.00,980.00,100.70
1767566845.863023,I,1000.00,993.75,100.75
1767566845.8830626,I,1000.00,982.50,100.89
1767566845.9030626,I,1000.00,977.50,101.07
1767566845.9150646,T,25.06,25.06
1767566845.9230661,I,1000.00,996.25,101.10
1767566845.9426599,I,1000.00,987.50,101.20
1767566845.9630265,I,1000.00,990.00,101.28
1767566845.9830954,I,1000.00,1000.00,101.28
1767566846.0030963,I,1000.00,1000.00,101.28
1767566846.0151916,T,25.06,25.06
1767566846.0221903,I,1000.00,993.75,101.33
1767566846.0428362,I,1000.00,1000.00,101.33
1767566846.0629113,I,1000.00,997.50,101.35
1767566846.0829701,I,1000.00,1002.50,101.33
1767566846.1029706,I,1000.00,1001.25,101.32
1767566846.1159728,T,25.06,25.06
1767566846.122973,I,1000.00,998.75,101.33
1767566846.1426926,I,1000.00,1000.00,101.33
1767566846.1631172,I,1000.00,997.50,101.35
1767566846.1827502,I,1000.00,1000.00,101.35
1767566846.2027488,I,1000.00,996.25,101.38
1767566846.2157607,T,25.06,25.06
1767566846.2227602,I,1000.00,986.25,101.49
1767566846.2422698,I,1000.00,1000.00,101.49
1767566846.2625074,I,1000.00,995.00,101.53
1767566846.2830098,I,1000.00,982.50,101.67
1767566846.30252,I,1000.00,987.50,101.77
