Timestamp,Type,Setpoint,Current,PWM
1767579525.363761,I,0.00,16.25,0.00
1767579525.3842661,I,0.00,18.75,0.00
1767579525.403556,I,0.00,18.75,0.00
1767579525.4238281,I,0.00,17.50,0.00
1767579525.444324,I,0.00,17.50,0.00
1767579525.4643474,I,0.00,17.50,0.00
1767579525.4838517,I,0.00,17.50,0.00
1767579525.4968517,T,24.56,24.12
1767579525.5038705,I,0.00,17.50,0.00
1767579525.5238705,I,0.00,17.50,0.00
1767579525.5442312,I,0.00,17.50,0.00
1767579525.5641212,I,0.00,18.75,0.00
1767579525.5836265,I,0.00,17.50,0.00
1767579525.5966265,T,24.56,24.12
1767579525.6036265,I,0.00,17.50,0.00
1767579525.6238794,I,0.00,17.50,0.00
1767579525.6441154,I,0.00,17.50,0.00
1767579525.6642568,I,0.00,17.50,0.00
1767579525.6847675,I,0.00,18.75,0.00
1767579525.6972315,T,24.56,24.12
1767579525.7042317,I,0.00,17.50,0.00
1767579525.7242315,I,0.00,17.50,0.00
1767579525.7442315,I,0.00,18.75,0.00
1767579525.7638345,I,0.00,17.50,0.00
1767579525.7843375,I,0.00,17.50,0.00
1767579525.796629,T,24.50,24.12
1767579525.8040843,I,0.00,17.50,0.00
1767579525.8241322,I,0.00,17.50,0.00
1767579525.8441315,I,0.00,17.50,0.00
1767579525.864134,I,0.00,17.50,0.00
1767579525.8838232,I,0.00,17.50,0.00
1767579525.8972585,T,24.50,24.12
1767579525.9042583,I,0.00,17.50,0.00
1767579525.9242585,I,0.00,17.50,0.00
1767579525.9443958,I,0.00,17.50,0.00
1767579525.9643848,I,0.00,18.75,0.00
1767579525.9844048,I,0.00,17.50,0.00
1767579525.9974184,T,24.50,24.12
1767579526.0042381,I,0.00,16.25,0.00
1767579526.0240202,I,0.00,17.50,0.00
1767579526.0440848,I,0.00,17.50,0.00
1767579526.0638947,I,0.00,17.50,0.00
1767579526.0843964,I,0.00,17.50,0.00
1767579526.096552,T,24.50,24.12
1767579526.1036012,I,0.00,17.50,0.00
1767579526.1246035,I,0.00,17.50,0.00
1767579526.1437974,I,0.00,17.50,0.00
1767579526.1636236,I,0.00,18.75,0.00
1767579526.1841333,I,0.00,17.50,0.00
1767579526.1972642,T,24.50,24.12
1767579526.204343,I,0.00,17.50,0.00
1767579526.224346,I,0.00,17.50,0.00
1767579526.2443419,I,0.00,17.50,0.00
1767579526.2644768,I,0.00,16.25,0.00
1767579526.2840629,I,0.00,17.50,0.00
1767579526.2970634,T,24.50,24.12
1767579526.304063,I,0.00,17.50,0.00
1767579526.3238184,I,0.00,18.75,0.00
1767579526.3438358,I,0.00,17.50,0.00
1767579526.3638365,I,0.00,17.50,0.00
1767579526.3841984,I,0.00,18.75,0.00
1767579526.3964715,T,24.50,24.12
1767579526.4035413,I,0.00,18.75,0.00
1767579526.4235435,I,0.00,17.50,0.00
1767579526.4435444,I,0.00,17.50,0.00
1767579526.464414,I,0.00,17.50,0.00
1767579526.4840345,I,0.00,17.50,0.00
1767579526.4970348,T,24.50,24.12
1767579526.5040352,I,0.00,18.75,0.00
1767579526.523411,I,0.00,17.50,0.00
1767579526.5434604,I,0.00,17.50,0.00
1767579526.5644646,I,0.00,17.50,0.00
1767579526.5839708,I,0.00,17.50,0.00
1767579526.5969715,T,24.50,24.12
1767579526.6039708,I,0.00,16.25,0.00
1767579526.6242592,I,0.00,17.50,0.00
1767579526.6435173,I,0.00,17.50,0.00
1767579526.663522,I,0.00,17.50,0.00
